ID,Usuário,Tweet,Seguidores

230186518,whindersson,Você já sonhou com este homem? https://t.co/mWP3ZmvXFJ,16876968

230186518,whindersson,Meu Deus pra que eu fui assistir Dark agora eu quero ajudar todo mundo pq talvez posso ser meu filho ou minha mãe 😰,16876968

230186518,whindersson,@camilladelucas Fui transportado para barbados  Mto shambrai laikadamon,16876968

230186518,whindersson,Esse meu novo show vai ser putaria viu 😂,16876968

230186518,whindersson,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK mto eu acho animal com cara de gente kkkkkkkkkkk eu faço isso d… https://t.co/crZ0F725HM,16876968

"230186518,whindersson,""Que tal trabalhar comigo no “Euclides”, meu filme de terror e comédia independente, eu entro com a comédia e vc com… https://t.co/91qxsal1AB"",16876968"

230186518,whindersson,Terminei de assistir Dark diz que você é meu pai @elonmusk,16876968

230186518,whindersson,Whindersson é visto com novo affair https://t.co/bFdeoJi8tb,16876968

230186518,whindersson,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰… https://t.co/QTT3Tib2dw,16876968

230186518,whindersson,@OfficialTukuma Dm bb,16876968

"230186518,whindersson,""Bom dia pra ninguém nessa porra   Só pro Mário, bom dia Mário esteja bem onde vc tiver bb"",16876968"

"230186518,whindersson,""@indiadeiphone Eu entendi seu ponto, vou continuar procurando e quando eu perguntar por alguém eu tenho que conversar com esse alguém 🙏🏼"",16876968"

"230186518,whindersson,""Meu deus gente não sabia q mulher tava grávida, e olha cara, foi mal tudo isso https://t.co/kogvWybhDS"",16876968"

"230186518,whindersson,""Eu não quero me apropriar da sua causa, não quero likes, eu não preciso disso, não preciso de mais fama, nem de mai… https://t.co/KUsu3DSskG"",16876968"

"230186518,whindersson,""Por isso em cada área eu resolvi procurar um jovem recém formado, pra tentar ajudar alguém como não me ajudaram, a… https://t.co/Xrf6VFTs1J"",16876968"

"230186518,whindersson,""Eu pensei em casa, que em meus empreendimentos eu poderia largar o velho hábito de buscar uma pessoa com a vida fei… https://t.co/s0Als7AWg8"",16876968"

"230186518,whindersson,""Por isso a galera pede assessoria pra fazer isso, faz um banner, mandar e-mail, faz promoção. A galera acha que que… https://t.co/JR5sl2FarZ"",16876968"

"230186518,whindersson,""Galera essa talvez seja a parte mais chata de tentar interação direta com as pessoas, a gente corre um sério risco… https://t.co/d1qrw366NR"",16876968"

230186518,whindersson,@buburiin @alecrimbaiano É esse mesmo @ ?,16876968

230186518,whindersson,Ave maria https://t.co/lS2rPQl3vF,16876968

230186518,whindersson,Já tinha favoritado pra entrar em contato mas vou escrever palavras aqui tbm https://t.co/6lb7TQuSnz,16876968

230186518,whindersson,@prybernardo Massa (respondendo aqui pq senão provar q eu vi já sabe),16876968

230186518,whindersson,Não é fácil nem tentar achar soluções,16876968

"230186518,whindersson,""Um jovem indígena pra ajudar a compor um menu com VÁRIAS regiões gente, eu favoritei a menina pra não perder https://t.co/e48BCAWbwZ"",16876968"

"230186518,whindersson,""Gente calma, eu pego o contato das pessoas converso com elas, e ainda estamos entrando contato com os arquitetos do… https://t.co/bjwi1LeVie"",16876968"

"230186518,whindersson,""Jesus amado não senoide postar e dar um volta, eu tenho mais 3 pessoas lendo e pegando contato de pessoas, vocês tã… https://t.co/l36iXAqHyV"",16876968"

230186518,whindersson,Gosto quando a Maisa mexe no cabelo que eu já sei como vai ficar em mim kkkkkkk,16876968

230186518,whindersson,“confere se tá certo o troco”  As duas pessoinhas responsáveis por fazerem contas na minha cabeça: https://t.co/FKqkn6GzSo,16876968

230186518,whindersson,@fadanadasensata @RafaelaSandrii1 Favoritando,16876968

230186518,whindersson,@leandrobatistt Vou olhar meu amigo,16876968

"230186518,whindersson,""@mcliperaa Eu estou conversando com uma amiga minha, encontrando soluções, logo mais eu tuito sobre ❤️🙏🏼"",16876968"

230186518,whindersson,@4nisio Incrível irmao! Direct,16876968

230186518,whindersson,Algum jovem indígena recém formado em gastronomia pra me ajudar a compor o menu de um restaurante?? Pras pessoas pe… https://t.co/GUrCEhSicO,16876968

"230186518,whindersson,""Site fica melhor, app tem q baixar, e ninguém vai baixar app que fica olhando engenheiros e arquitetos, só se for u… https://t.co/hNmpUBLuGF"",16876968"

230186518,whindersson,Alguém jovem indígena criador de sites que possa me ajudar a criar um site catalogando jovens engenheiro e arquitet… https://t.co/RJGKX9T4AQ,16876968

230186518,whindersson,Vocês concordam que as orelhas são a maquiagem do Mickey? https://t.co/gqY2mqdngY,16876968

230186518,whindersson,Curtindo preguiça 🦥 https://t.co/A1875cQSZa,16876968

"230186518,whindersson,""Quantos engenheiros e arquitetos novos apareceram aqui, meu deus muita gente incrivelmente talentosa!! 😍 Tem algum… https://t.co/Rl6CfE2aUB"",16876968"

230186518,whindersson,@comodizbubiz Com quem por acaso,16876968

230186518,whindersson,Eu evito conectar fãs aos ídolos pq eu sei que vão ficar decepcionado então melhor evitar perder o encanto,16876968

230186518,whindersson,Confidencial - Zé Vaqueiro🎵 https://t.co/1tLAHrn0Lo,16876968

230186518,whindersson,Espero que vocês gostem de umas das entrevistas mais sinceras e divertidas que já fiz! ❤️ https://t.co/YLEcgvwCZl,16876968

230186518,whindersson,Pensando por esse lado..... https://t.co/7n6Ps73EX0,16876968

230186518,whindersson,@silveropereira Se a massa dessa pizza for de cuscuz aí eu encomendo 2,16876968

230186518,whindersson,@natifraga_ @comodizbubiz Menina! Q topppp 😍😍😍,16876968

"230186518,whindersson,""Meu pronunciamento sobre tudo que tem acontecido envolvendo meu nome, espero que entendam 🙏🏼😠 https://t.co/54NZi9ictZ"",16876968"

230186518,whindersson,E como diria a porta Kelly: mais uma noite chega,16876968

230186518,whindersson,Seria o nosso Fim De Semana 😎 puxa meu starboooooyyy!!! https://t.co/1lUimAaQtu,16876968

230186518,whindersson,@bobdaslabaredas Percebeu,16876968

230186518,whindersson,O corona fez o mineiro ficar puto https://t.co/tkesweedJz,16876968

"230186518,whindersson,""Entendo, mas no meu caso, o lugar é deserto, eu vou levar o verde, eu sou gente boa relaxa  Vdc https://t.co/Wq84u9JaFY"",16876968"

"230186518,whindersson,""Você pode encontrar fotos de construções e mandar aqui? Na vdd eu não sei bem como avaliar um engenheiro, eu tenho… https://t.co/eHmtTmqizM"",16876968"

230186518,whindersson,@tatianascastro Uaaaal,16876968

230186518,whindersson,@VaiUmaMaozinhAi Boa!,16876968

230186518,whindersson,@nathalialvescl Irado! Vou olhar agora,16876968

230186518,whindersson,@xWarriorH7x Deixa a galera se divertir,16876968

230186518,whindersson,Eu já penso em arborizar primeiro e construir só onde o verde não alcança. Tipo encher a barriga de salada pra não… https://t.co/KJi3yjrTmY,16876968

230186518,whindersson,@IuriFreire Você pode colocar fotos dos seus projetos aqui até mesmo pra galera conhecer seu trabalho irmao? Tamo junto! 🙏🏼❤️,16876968

230186518,whindersson,@uDerick_ Kkkkkkkkkkkkkkk carai man eu li tudo,16876968

230186518,whindersson,@vetstreamer Vou olhar amigo,16876968

"230186518,whindersson,""Alguém jovem engenheiro recém formado que tenha amor no coração e sabia respeitar os antigos moradores, respeitar a… https://t.co/jkTNqZBv3R"",16876968"

